the cup by the bed on the stool by the truck on the street by the book in the museum is brown .	the cup was by the bed on the stool by the truck on the street by the book in the museum is brown .
the bowl on the street in the bank by the fork on the ground on the table on the chair is boring .	the bowl was on the street in the bank by the fork on the ground on the table on the chair is boring .
the doll by the couch by the door by the doll on the chair in the bank in the bank was brown .	the doll is by the couch by the door by the doll on the chair in the bank in the bank was brown .
the bed on the bed on the chair in the kitchen on the couch in the library on the bed is broken .	the bed was on the bed on the chair in the kitchen on the couch in the library on the bed is broken .
the car on the table by the chair by the bed on the couch in the museum by the shoe was new .	the car is on the table by the chair by the bed on the couch in the museum by the shoe was new .
the rocket by the bag on the table by the box by the ship by the bowl in the library was important .	the rocket is by the bag on the table by the box by the ship by the bowl in the library was important .
the box by the bag on the street on the table on the table by the bottle by the crayon is whole .	the box was by the bag on the street on the table on the table by the bottle by the crayon is whole .
the ring in the park on the floor on the table in the park on the stool in the room was black .	the ring is in the park on the floor on the table in the park on the stool in the room was black .
the candle by the spoon by the couch by the bag on the stool on the street by the car was purple .	the candle is by the spoon by the couch by the bag on the stool on the street by the car was purple .
the doll by the door by the couch in the school in the hospital by the fork by the ring is expensive .	the doll was by the door by the couch in the school in the hospital by the fork by the ring is expensive .
the couch in the kitchen by the plate in the hospital by the plate on the table on the ground was awesome .	the couch is in the kitchen by the plate in the hospital by the plate on the table on the ground was awesome .
the toy by the ring in the school in the park by the plate in the restaurant in the bank is important .	the toy was by the ring in the school in the park by the plate in the restaurant in the bank is important .
the doll by the toy by the rug by the couch on the street by the chair in the library was awesome .	the doll is by the toy by the rug by the couch on the street by the chair in the library was awesome .
the bottle in the kitchen on the floor in the room by the bowl on the street on the bed was old .	the bottle is in the kitchen on the floor in the room by the bowl on the street on the bed was old .
the spoon on the floor by the book in the school on the table on the ground on the stool is green .	the spoon was on the floor by the book in the school on the table on the ground on the stool is green .
the hat in the school in the hospital on the bed on the floor in the bank by the bottle was brown .	the hat is in the school in the hospital on the bed on the floor in the bank by the bottle was brown .
the glass in the library by the window by the hat by the bowl on the table on the chair is new .	the glass was in the library by the window by the hat by the bowl on the table on the chair is new .
the picture by the boat in the library by the book by the ship in the bank in the library is blue .	the picture was by the boat in the library by the book by the ship in the bank in the library is blue .
the car by the shoe on the bed by the fork on the stool by the glass by the bottle is boring .	the car was by the shoe on the bed by the fork on the stool by the glass by the bottle is boring .
the bag by the bed on the ground by the bottle on the chair on the floor by the window was new .	the bag is by the bed on the ground by the bottle on the chair on the floor by the window was new .
the button on the ground on the table by the rocket by the bag in the museum on the street was whole .	the button is on the ground on the table by the rocket by the bag in the museum on the street was whole .
the bed by the picture on the table on the chair in the kitchen by the boat in the kitchen is blue .	the bed was by the picture on the table on the chair in the kitchen by the boat in the kitchen is blue .
the bottle on the ground by the box in the school on the street on the chair on the ground was broken .	the bottle is on the ground by the box in the school on the street on the chair on the ground was broken .
the toy in the hospital by the toy on the table on the table by the button in the park is expensive .	the toy was in the hospital by the toy on the table on the table by the button in the park is expensive .
the door in the restaurant on the table in the kitchen on the chair in the mall on the bed is red .	the door was in the restaurant on the table in the kitchen on the chair in the mall on the bed is red .
the picture on the table in the mall on the couch by the candle on the bed by the couch was gray .	the picture is on the table in the mall on the couch by the candle on the bed by the couch was gray .
the dish in the restaurant in the restaurant in the mall by the dish on the floor in the school was big .	the dish is in the restaurant in the restaurant in the mall by the dish on the floor in the school was big .
the box by the fork on the bed in the school in the hospital on the bed on the ground was purple .	the box is by the fork on the bed in the school in the hospital on the bed on the ground was purple .
the bowl by the ring by the mirror in the hospital on the stool in the restaurant in the library was red .	the bowl is by the ring by the mirror in the hospital on the stool in the restaurant in the library was red .
the plane by the ship in the restaurant on the stool on the bed by the fork in the park was amazing .	the plane is by the ship in the restaurant on the stool on the bed by the fork in the park was amazing .
the bowl on the couch by the truck on the ground by the shoe in the kitchen by the ship was old .	the bowl is on the couch by the truck on the ground by the shoe in the kitchen by the ship was old .
the fork in the kitchen in the school on the street by the fork on the floor by the rocket is green .	the fork was in the kitchen in the school on the street by the fork on the floor by the rocket is green .
the truck in the bank on the chair by the shirt on the floor by the shirt by the door was big .	the truck is in the bank on the chair by the shirt on the floor by the shirt by the door was big .
the plate on the stool on the bed on the stool by the candle in the room on the bed is brown .	the plate was on the stool on the bed on the stool by the candle in the room on the bed is brown .
the shoe on the table by the rug by the ring in the school by the dish on the floor was white .	the shoe is on the table by the rug by the ring in the school by the dish on the floor was white .
the book by the hat on the couch on the stool by the door in the room on the table was new .	the book is by the hat on the couch on the stool by the door in the room on the table was new .
the plate by the shoe on the street on the bed on the bed by the glass in the kitchen is cool .	the plate was by the shoe on the street on the bed on the bed by the glass in the kitchen is cool .
the boat by the book on the couch in the school in the park in the mall on the stool is cold .	the boat was by the book on the couch in the school in the park in the mall on the stool is cold .
the car on the stool in the museum by the toy on the chair by the book by the button is broken .	the car was on the stool in the museum by the toy on the chair by the book by the button is broken .
the candle in the mall on the stool in the kitchen in the museum in the school in the school was boring .	the candle is in the mall on the stool in the kitchen in the museum in the school in the school was boring .
the ship on the table on the ground by the crayon by the ring by the cup in the museum was old .	the ship is on the table on the ground by the crayon by the ring by the cup in the museum was old .
the rug in the hospital in the school in the bank by the plate on the table by the bottle is yellow .	the rug was in the hospital in the school in the bank by the plate on the table by the bottle is yellow .
the door on the floor in the room on the bed by the toy on the stool on the bed was green .	the door is on the floor in the room on the bed by the toy on the stool on the bed was green .
the mirror by the candle in the park in the library on the street in the school by the candle is hot .	the mirror was by the candle in the park in the library on the street in the school by the candle is hot .
the mirror in the hospital by the picture by the boat on the ground by the plane on the chair is purple .	the mirror was in the hospital by the picture by the boat on the ground by the plane on the chair is purple .
the door in the room on the floor by the boat on the bed on the street on the stool was big .	the door is in the room on the floor by the boat on the bed on the street on the stool was big .
the dish by the bottle on the chair in the school by the boat on the ground in the room was green .	the dish is by the bottle on the chair in the school by the boat on the ground in the room was green .
the shirt on the stool on the chair on the bed in the mall on the stool on the chair was orange .	the shirt is on the stool on the chair on the bed in the mall on the stool on the chair was orange .
the glass on the stool on the floor in the mall in the school by the bed on the table is black .	the glass was on the stool on the floor in the mall in the school by the bed on the table is black .
the car on the stool in the library on the chair on the ground on the ground on the table is cold .	the car was on the stool in the library on the chair on the ground on the ground on the table is cold .
the ring by the door by the glass in the hospital by the dish on the bed in the hospital is new .	the ring was by the door by the glass in the hospital by the dish on the bed in the hospital is new .
the bowl by the ship on the stool by the truck in the library on the street in the hospital is red .	the bowl was by the ship on the stool by the truck in the library on the street in the hospital is red .
the toy in the museum in the museum on the couch in the kitchen on the ground in the museum was awesome .	the toy is in the museum in the museum on the couch in the kitchen on the ground in the museum was awesome .
the plane in the bank by the book in the restaurant by the plate on the floor on the floor is big .	the plane was in the bank by the book in the restaurant by the plate on the floor on the floor is big .
the book by the candle on the floor on the bed in the school on the table on the street is great .	the book was by the candle on the floor on the bed in the school on the table on the street is great .
the couch in the school on the bed by the window by the shoe on the street by the book was small .	the couch is in the school on the bed by the window by the shoe on the street by the book was small .
the bottle in the kitchen on the street in the school in the school by the bowl on the couch was hot .	the bottle is in the kitchen on the street in the school in the school by the bowl on the couch was hot .
the spoon by the window in the restaurant on the stool by the window in the hospital in the school is fine .	the spoon was by the window in the restaurant on the stool by the window in the hospital in the school is fine .
the glass in the room on the street by the button on the couch by the boat by the doll was amazing .	the glass is in the room on the street by the button on the couch by the boat by the doll was amazing .
the plane on the chair on the chair by the door on the couch in the school on the couch was big .	the plane is on the chair on the chair by the door on the couch in the school on the couch was big .
the book by the book on the couch on the chair on the floor in the school by the hat is new .	the book was by the book on the couch on the chair on the floor in the school by the hat is new .
the cup in the mall in the park on the table by the toy in the park on the ground is important .	the cup was in the mall in the park on the table by the toy in the park on the ground is important .
the doll by the mirror on the floor by the cup by the plane on the chair by the boat is cute .	the doll was by the mirror on the floor by the cup by the plane on the chair by the boat is cute .
the crayon by the plate on the bed on the floor on the bed by the chair in the hospital is broken .	the crayon was by the plate on the bed on the floor on the bed by the chair in the hospital is broken .
the ship on the floor on the couch on the street by the car in the library by the chair is cold .	the ship was on the floor on the couch on the street by the car in the library by the chair is cold .
the plane in the park on the ground on the bed in the park on the ground by the plate was new .	the plane is in the park on the ground on the bed in the park on the ground by the plate was new .
the rug in the park in the mall in the library on the couch in the museum by the book was fine .	the rug is in the park in the mall in the library on the couch in the museum by the book was fine .
the car on the couch in the school in the park on the table on the couch on the floor was new .	the car is on the couch in the school in the park on the table on the couch on the floor was new .
the book on the stool on the table on the floor in the mall on the stool on the ground is new .	the book was on the stool on the table on the floor in the mall on the stool on the ground is new .
the plane in the bank in the school by the box in the mall in the hospital in the hospital was black .	the plane is in the bank in the school by the box in the mall in the hospital in the hospital was black .
the shoe on the stool in the school on the street on the ground in the bank by the truck was cold .	the shoe is on the stool in the school on the street on the ground in the bank by the truck was cold .
the plate on the bed on the ground in the kitchen on the ground on the stool by the window was black .	the plate is on the bed on the ground in the kitchen on the ground on the stool by the window was black .
the box by the truck by the truck on the stool by the car on the ground by the cup was orange .	the box is by the truck by the truck on the stool by the car on the ground by the cup was orange .
the bicycle by the button by the bowl in the library on the bed in the bank on the table is blue .	the bicycle was by the button by the bowl in the library on the bed in the bank on the table is blue .
the bowl on the bed on the table by the plate in the kitchen on the bed by the rug was important .	the bowl is on the bed on the table by the plate in the kitchen on the bed by the rug was important .
the dish on the ground in the bank on the couch on the street on the stool on the street was expensive .	the dish is on the ground in the bank on the couch on the street on the stool on the street was expensive .
the glass on the couch on the bed by the car in the library by the glass by the bed was blue .	the glass is on the couch on the bed by the car in the library by the glass by the bed was blue .
the window on the stool on the chair in the museum by the bed by the candle by the chair was orange .	the window is on the stool on the chair in the museum by the bed by the candle by the chair was orange .
the spoon by the doll on the chair on the table on the stool in the bank in the school was hot .	the spoon is by the doll on the chair on the table on the stool in the bank in the school was hot .
the plate on the bed in the kitchen on the table in the bank by the boat by the ship is old .	the plate was on the bed in the kitchen on the table in the bank by the boat by the ship is old .
the dish on the chair on the bed in the bank by the window by the button in the school was important .	the dish is on the chair on the bed in the bank by the window by the button in the school was important .
the bed in the park on the bed on the couch in the restaurant on the couch on the floor was black .	the bed is in the park on the bed on the couch in the restaurant on the couch on the floor was black .
the boat on the table in the kitchen in the kitchen on the floor in the room in the bank was broken .	the boat is on the table in the kitchen in the kitchen on the floor in the room in the bank was broken .
the car on the stool by the hat on the street by the box on the stool on the bed was expensive .	the car is on the stool by the hat on the street by the box on the stool on the bed was expensive .
the chair in the hospital in the hospital on the floor by the bowl by the book by the shirt is blue .	the chair was in the hospital in the hospital on the floor by the bowl by the book by the shirt is blue .
the bicycle by the button in the school in the restaurant in the mall on the stool in the school was dry .	the bicycle is by the button in the school in the restaurant in the mall on the stool in the school was dry .
the truck on the couch by the picture on the table on the stool by the spoon on the ground was yellow .	the truck is on the couch by the picture on the table on the stool by the spoon on the ground was yellow .
the window by the bowl on the floor on the bed on the street on the ground on the bed is expensive .	the window was by the bowl on the floor on the bed on the street on the ground on the bed is expensive .
the fork in the museum in the room on the bed in the school by the dish on the ground was fine .	the fork is in the museum in the room on the bed in the school by the dish on the ground was fine .
the bottle by the book by the window by the book by the hat on the stool on the chair is whole .	the bottle was by the book by the window by the book by the hat on the stool on the chair is whole .
the plate on the bed in the restaurant by the ring on the couch in the hospital on the table was white .	the plate is on the bed in the restaurant by the ring on the couch in the hospital on the table was white .
the shirt on the floor on the floor by the shirt by the couch on the stool in the museum is blue .	the shirt was on the floor on the floor by the shirt by the couch on the stool in the museum is blue .
the book by the book in the restaurant on the bed on the stool in the museum on the street is new .	the book was by the book in the restaurant on the bed on the stool in the museum on the street is new .
the truck by the ring by the window on the floor on the stool on the chair on the couch was small .	the truck is by the ring by the window on the floor on the stool on the chair on the couch was small .
the toy on the table by the rug by the doll by the fork in the museum by the doll was small .	the toy is on the table by the rug by the doll by the fork in the museum by the doll was small .
the cup in the room by the book in the restaurant by the button in the restaurant on the table is boring .	the cup was in the room by the book in the restaurant by the button in the restaurant on the table is boring .
the plane in the mall on the chair on the street by the rocket in the school in the bank is broken .	the plane was in the mall on the chair on the street by the rocket in the school in the bank is broken .
the couch by the book by the book by the couch on the table by the book on the ground is missing .	the couch was by the book by the book by the couch on the table by the book on the ground is missing .
the button in the museum by the ship in the bank in the mall on the street on the stool is black .	the button was in the museum by the ship in the bank in the mall on the street on the stool is black .
the rug in the mall in the museum by the book on the chair on the stool by the glass is amazing .	the rug was in the mall in the museum by the book on the chair on the stool by the glass is amazing .
the bottle by the couch by the book in the mall by the bottle in the park by the mirror was old .	the bottle is by the couch by the book in the mall by the bottle in the park by the mirror was old .
the rug by the shoe on the couch by the book in the bank on the ground on the floor was white .	the rug is by the shoe on the couch by the book in the bank on the ground on the floor was white .
the button by the chair in the kitchen on the stool in the mall in the park in the mall was cold .	the button is by the chair in the kitchen on the stool in the mall in the park in the mall was cold .
the ship by the bowl in the hospital by the bag by the candle by the door by the car is expensive .	the ship was by the bowl in the hospital by the bag by the candle by the door by the car is expensive .
the bowl on the street in the bank in the library by the spoon by the box on the stool is missing .	the bowl was on the street in the bank in the library by the spoon by the box on the stool is missing .
the window by the ring by the plane in the hospital on the street on the couch on the bed was gray .	the window is by the ring by the plane in the hospital on the street on the couch on the bed was gray .
the candle in the bank on the bed by the candle by the fork in the bank on the stool is brown .	the candle was in the bank on the bed by the candle by the fork in the bank on the stool is brown .
the shirt on the stool in the bank in the mall in the park on the chair by the window was whole .	the shirt is on the stool in the bank in the mall in the park on the chair by the window was whole .
the door on the ground by the picture in the park on the ground by the book by the button is small .	the door was on the ground by the picture in the park on the ground by the book by the button is small .
the ring by the spoon on the floor in the restaurant in the restaurant on the table on the couch was whole .	the ring is by the spoon on the floor in the restaurant in the restaurant on the table on the couch was whole .
the button on the couch on the street by the bed by the window in the room by the book was hot .	the button is on the couch on the street by the bed by the window in the room by the book was hot .
the car in the room in the hospital on the street in the library in the bank by the button is boring .	the car was in the room in the hospital on the street in the library in the bank by the button is boring .
the bed on the floor by the ring on the chair by the truck on the couch in the hospital was amazing .	the bed is on the floor by the ring on the chair by the truck on the couch in the hospital was amazing .
the truck on the chair by the chair on the chair in the restaurant by the toy in the library was yellow .	the truck is on the chair by the chair on the chair in the restaurant by the toy in the library was yellow .
the crayon on the stool on the stool in the school in the park by the hat by the spoon was blue .	the crayon is on the stool on the stool in the school in the park by the hat by the spoon was blue .
the bowl by the dish by the couch on the table by the window on the chair in the park is hot .	the bowl was by the dish by the couch on the table by the window on the chair in the park is hot .
the fork on the floor in the park on the ground in the library by the chair on the bed was expensive .	the fork is on the floor in the park on the ground in the library by the chair on the bed was expensive .
the chair in the school on the stool by the picture on the ground by the plane in the room is orange .	the chair was in the school on the stool by the picture on the ground by the plane in the room is orange .
the glass in the mall on the stool in the library by the doll by the rocket on the bed is cool .	the glass was in the mall on the stool in the library by the doll by the rocket on the bed is cool .
the shoe on the table in the restaurant in the park on the couch by the plate in the park is broken .	the shoe was on the table in the restaurant in the park on the couch by the plate in the park is broken .
the ship by the spoon on the floor on the floor in the mall by the ship by the car is black .	the ship was by the spoon on the floor on the floor in the mall by the ship by the car is black .
the toy on the ground in the room in the mall by the button by the plane in the room was hot .	the toy is on the ground in the room in the mall by the button by the plane in the room was hot .
the boat on the floor by the toy by the button on the couch on the table on the floor is cool .	the boat was on the floor by the toy by the button on the couch on the table on the floor is cool .
the spoon by the rug in the bank in the hospital by the book in the park by the candle is yellow .	the spoon was by the rug in the bank in the hospital by the book in the park by the candle is yellow .
the book on the stool in the restaurant on the chair in the kitchen in the hospital on the street is awesome .	the book was on the stool in the restaurant on the chair in the kitchen in the hospital on the street is awesome .
the bicycle by the dish by the book on the chair by the truck in the kitchen on the table is small .	the bicycle was by the dish by the book on the chair by the truck in the kitchen on the table is small .
the box in the restaurant in the museum in the school by the candle in the hospital by the book is cool .	the box was in the restaurant in the museum in the school by the candle in the hospital by the book is cool .
the box in the library by the crayon in the bank by the boat by the mirror on the chair was boring .	the box is in the library by the crayon in the bank by the boat by the mirror on the chair was boring .
the box on the bed in the restaurant on the floor in the restaurant in the kitchen in the hospital is great .	the box was on the bed in the restaurant on the floor in the restaurant in the kitchen in the hospital is great .
the plane by the ship by the picture in the hospital in the school by the ship on the bed was cool .	the plane is by the ship by the picture in the hospital in the school by the ship on the bed was cool .
the rug on the stool in the restaurant in the school in the restaurant by the truck in the school is amazing .	the rug was on the stool in the restaurant in the school in the restaurant by the truck in the school is amazing .
the bottle by the bag on the bed in the room by the car by the toy on the bed is awesome .	the bottle was by the bag on the bed in the room by the car by the toy on the bed is awesome .
the spoon in the museum in the park in the museum on the table on the stool by the bicycle was great .	the spoon is in the museum in the park in the museum on the table on the stool by the bicycle was great .
the ship by the spoon in the park in the room on the chair by the dish by the ring was white .	the ship is by the spoon in the park in the room on the chair by the dish by the ring was white .
the glass by the rocket in the bank by the plate by the hat by the rocket on the bed was fine .	the glass is by the rocket in the bank by the plate by the hat by the rocket on the bed was fine .
the shirt on the floor by the cup by the chair in the museum on the table by the fork is boring .	the shirt was on the floor by the cup by the chair in the museum on the table by the fork is boring .
the plate on the floor by the mirror by the window by the cup on the bed in the hospital is purple .	the plate was on the floor by the mirror by the window by the cup on the bed in the hospital is purple .
the plane on the chair on the street on the floor on the stool on the chair in the kitchen was small .	the plane is on the chair on the street on the floor on the stool on the chair in the kitchen was small .
the car in the kitchen by the car by the ring in the school by the boat in the restaurant was blue .	the car is in the kitchen by the car by the ring in the school by the boat in the restaurant was blue .
the car in the school on the street by the bottle in the school in the school by the bicycle was yellow .	the car is in the school on the street by the bottle in the school in the school by the bicycle was yellow .
the rug in the mall in the restaurant in the room on the chair on the table on the stool is orange .	the rug was in the mall in the restaurant in the room on the chair on the table on the stool is orange .
the picture by the ship in the mall on the table in the school by the couch in the school is red .	the picture was by the ship in the mall on the table in the school by the couch in the school is red .
the chair in the kitchen on the stool on the chair on the floor in the library by the mirror was whole .	the chair is in the kitchen on the stool on the chair on the floor in the library by the mirror was whole .
the candle on the floor by the book on the floor in the park in the school by the hat is small .	the candle was on the floor by the book on the floor in the park in the school by the hat is small .
the bag by the mirror in the park on the stool on the couch in the park in the mall was new .	the bag is by the mirror in the park on the stool on the couch in the park in the mall was new .
the fork by the ring by the shoe on the table in the hospital on the street by the car is yellow .	the fork was by the ring by the shoe on the table in the hospital on the street by the car is yellow .
the chair on the couch in the school by the shirt in the school in the park on the bed is brown .	the chair was on the couch in the school by the shirt in the school in the park on the bed is brown .
the door by the fork in the kitchen on the couch on the chair on the floor by the bed was great .	the door is by the fork in the kitchen on the couch on the chair on the floor by the bed was great .
the car on the floor by the dish by the glass on the chair by the rocket in the library was broken .	the car is on the floor by the dish by the glass on the chair by the rocket in the library was broken .
the shoe on the table on the bed on the chair on the floor in the park by the hat is amazing .	the shoe was on the table on the bed on the chair on the floor in the park by the hat is amazing .
the picture on the couch by the ring in the restaurant in the park by the rug on the ground is red .	the picture was on the couch by the ring in the restaurant in the park by the rug on the ground is red .
the hat in the museum on the table by the book by the book in the park by the boat is black .	the hat was in the museum on the table by the book by the book in the park by the boat is black .
the ring on the ground by the car on the stool on the ground on the stool in the library is new .	the ring was on the ground by the car on the stool on the ground on the stool in the library is new .
the bowl on the table on the street by the mirror on the chair in the hospital on the stool is important .	the bowl was on the table on the street by the mirror on the chair in the hospital on the stool is important .
the boat by the mirror on the chair by the boat by the cup in the library by the truck was brown .	the boat is by the mirror on the chair by the boat by the cup in the library by the truck was brown .
the chair in the restaurant by the rocket by the toy by the spoon in the restaurant by the bed is cold .	the chair was in the restaurant by the rocket by the toy by the spoon in the restaurant by the bed is cold .
the ship in the park by the mirror by the car on the couch in the bank in the park is awesome .	the ship was in the park by the mirror by the car on the couch in the bank in the park is awesome .
the dish by the shoe on the bed on the floor on the couch by the shoe on the street was broken .	the dish is by the shoe on the bed on the floor on the couch by the shoe on the street was broken .
the crayon on the floor on the ground by the chair by the rug in the mall by the door was missing .	the crayon is on the floor on the ground by the chair by the rug in the mall by the door was missing .
the rug in the school in the hospital by the hat by the ship in the museum on the chair is purple .	the rug was in the school in the hospital by the hat by the ship in the museum on the chair is purple .
the bag on the table in the school by the car in the park on the bed in the room is purple .	the bag was on the table in the school by the car in the park on the bed in the room is purple .
the book on the table on the floor by the rug by the car in the school in the mall is important .	the book was on the table on the floor by the rug by the car in the school in the mall is important .
the window by the book on the bed by the doll in the mall by the ship in the restaurant was awesome .	the window is by the book on the bed by the doll in the mall by the ship in the restaurant was awesome .
the button by the button on the chair on the street in the kitchen by the bowl on the couch is cold .	the button was by the button on the chair on the street in the kitchen by the bowl on the couch is cold .
the bag on the street on the table by the truck in the kitchen in the bank in the hospital is red .	the bag was on the street on the table by the truck in the kitchen in the bank in the hospital is red .
the candle by the button on the chair in the hospital by the plane in the kitchen in the kitchen is gray .	the candle was by the button on the chair in the hospital by the plane in the kitchen in the kitchen is gray .
the spoon by the shoe in the school in the school in the school in the restaurant on the floor is purple .	the spoon was by the shoe in the school in the school in the school in the restaurant on the floor is purple .
the shoe in the hospital in the kitchen on the bed by the plate in the mall by the fork is boring .	the shoe was in the hospital in the kitchen on the bed by the plate in the mall by the fork is boring .
the book by the window on the ground on the street in the bank on the stool in the library is whole .	the book was by the window on the ground on the street in the bank on the stool in the library is whole .
the button on the bed in the hospital by the bottle on the bed in the mall on the stool is expensive .	the button was on the bed in the hospital by the bottle on the bed in the mall on the stool is expensive .
the toy by the box in the hospital by the mirror on the chair in the mall in the hospital was boring .	the toy is by the box in the hospital by the mirror on the chair in the mall in the hospital was boring .
the couch by the bicycle on the table on the couch in the park on the chair in the school was great .	the couch is by the bicycle on the table on the couch in the park on the chair in the school was great .
the door on the floor on the floor on the table by the rug in the hospital on the street was cold .	the door is on the floor on the floor on the table by the rug in the hospital on the street was cold .
the bed by the toy by the window in the library in the room in the museum in the restaurant was small .	the bed is by the toy by the window in the library in the room in the museum in the restaurant was small .
the door in the restaurant on the chair in the restaurant on the chair by the bowl on the stool is broken .	the door was in the restaurant on the chair in the restaurant on the chair by the bowl on the stool is broken .
the box on the table on the bed in the restaurant on the couch on the street by the candle is blue .	the box was on the table on the bed in the restaurant on the couch on the street by the candle is blue .
the bottle by the toy by the book in the mall by the bag by the car in the kitchen is red .	the bottle was by the toy by the book in the mall by the bag by the car in the kitchen is red .
the box on the floor by the car by the bed on the street by the box in the park is important .	the box was on the floor by the car by the bed on the street by the box in the park is important .
the door by the window on the ground by the toy by the cup on the floor in the bank is dry .	the door was by the window on the ground by the toy by the cup on the floor in the bank is dry .
the couch by the shoe on the bed by the rug on the stool in the mall in the library was purple .	the couch is by the shoe on the bed by the rug on the stool in the mall in the library was purple .
the car in the school by the bicycle by the bottle by the glass by the shirt by the bottle was purple .	the car is in the school by the bicycle by the bottle by the glass by the shirt by the bottle was purple .
the ring by the rocket in the school by the couch by the dish in the mall in the school is black .	the ring was by the rocket in the school by the couch by the dish in the mall in the school is black .
the crayon in the kitchen on the street on the bed on the bed in the bank by the cup is red .	the crayon was in the kitchen on the street on the bed on the bed in the bank by the cup is red .
the shoe by the ring on the bed on the table in the library in the room on the couch was yellow .	the shoe is by the ring on the bed on the table in the library in the room on the couch was yellow .
the bottle on the street on the stool in the school by the box on the table in the museum was cool .	the bottle is on the street on the stool in the school by the box on the table in the museum was cool .
the book on the street on the stool by the mirror on the floor by the crayon by the couch was gray .	the book is on the street on the stool by the mirror on the floor by the crayon by the couch was gray .
the glass by the cup by the mirror in the school by the car by the car by the boat was great .	the glass is by the cup by the mirror in the school by the car by the car by the boat was great .
the door by the book on the bed by the bicycle by the chair in the kitchen in the school is cool .	the door was by the book on the bed by the bicycle by the chair in the kitchen in the school is cool .
the shirt by the bowl in the park in the room in the museum on the ground by the bottle was hot .	the shirt is by the bowl in the park in the room in the museum on the ground by the bottle was hot .
the shoe by the car on the chair on the floor on the table in the school by the book is important .	the shoe was by the car on the chair on the floor on the table in the school by the book is important .
the chair by the car on the table on the chair on the couch on the chair on the chair was amazing .	the chair is by the car on the table on the chair on the couch on the chair on the chair was amazing .
the hat by the dish in the mall on the floor by the cup on the chair in the school is big .	the hat was by the dish in the mall on the floor by the cup on the chair in the school is big .
the box on the couch by the button on the floor by the bottle on the bed in the park is amazing .	the box was on the couch by the button on the floor by the bottle on the bed in the park is amazing .
the box on the floor by the fork by the ring by the crayon on the chair by the book is black .	the box was on the floor by the fork by the ring by the crayon on the chair by the book is black .
the doll on the bed in the mall by the bag in the museum in the room in the restaurant is great .	the doll was on the bed in the mall by the bag in the museum in the room in the restaurant is great .
the shoe on the couch on the table on the chair on the couch on the couch on the floor is small .	the shoe was on the couch on the table on the chair on the couch on the couch on the floor is small .
the shirt on the street in the hospital on the floor in the park in the hospital on the ground is cute .	the shirt was on the street in the hospital on the floor in the park in the hospital on the ground is cute .
the box by the ship on the bed by the mirror on the bed on the chair on the floor was purple .	the box is by the ship on the bed by the mirror on the bed on the chair on the floor was purple .
the boat on the chair on the floor in the mall in the library on the couch on the bed is cool .	the boat was on the chair on the floor in the mall in the library on the couch on the bed is cool .
the crayon in the hospital in the room in the bank on the couch by the boat on the table is gray .	the crayon was in the hospital in the room in the bank on the couch by the boat on the table is gray .
the crayon in the park on the table on the chair by the shirt on the stool on the chair is broken .	the crayon was in the park on the table on the chair by the shirt on the stool on the chair is broken .
the button by the shoe by the ship on the floor by the cup in the kitchen by the bottle is white .	the button was by the shoe by the ship on the floor by the cup in the kitchen by the bottle is white .
the plane on the chair in the museum by the boat in the room in the room on the couch was cool .	the plane is on the chair in the museum by the boat in the room in the room on the couch was cool .
the dish in the library on the street by the boat on the couch by the window in the restaurant is cute .	the dish was in the library on the street by the boat on the couch by the window in the restaurant is cute .
the door in the room in the school in the museum on the table in the bank on the street was broken .	the door is in the room in the school in the museum on the table in the bank on the street was broken .
the shirt on the ground on the table by the couch by the bowl by the mirror by the picture was black .	the shirt is on the ground on the table by the couch by the bowl by the mirror by the picture was black .
the ship in the park on the stool by the hat on the ground by the bed by the couch was brown .	the ship is in the park on the stool by the hat on the ground by the bed by the couch was brown .
the door by the book on the couch on the stool on the couch in the restaurant on the street is important .	the door was by the book on the couch on the stool on the couch in the restaurant on the street is important .
the rug by the picture by the candle on the chair by the truck in the park by the glass is great .	the rug was by the picture by the candle on the chair by the truck in the park by the glass is great .
the rug in the library by the rocket by the bicycle in the school on the floor in the library was expensive .	the rug is in the library by the rocket by the bicycle in the school on the floor in the library was expensive .
the box on the couch in the mall on the stool by the toy by the toy by the book is missing .	the box was on the couch in the mall on the stool by the toy by the toy by the book is missing .
the spoon by the book on the street on the chair in the museum on the ground in the mall was boring .	the spoon is by the book on the street on the chair in the museum on the ground in the mall was boring .
the rug in the hospital on the street by the shoe in the park by the toy by the doll was white .	the rug is in the hospital on the street by the shoe in the park by the toy by the doll was white .
the book on the table on the bed by the picture on the floor in the restaurant in the school is cool .	the book was on the table on the bed by the picture on the floor in the restaurant in the school is cool .
the cup on the chair by the rug by the bowl by the cup in the kitchen on the stool was old .	the cup is on the chair by the rug by the bowl by the cup in the kitchen on the stool was old .
the window on the chair by the bowl on the ground in the kitchen in the school by the crayon is cute .	the window was on the chair by the bowl on the ground in the kitchen in the school by the crayon is cute .
the window by the doll by the plane on the chair in the bank by the dish on the floor was great .	the window is by the doll by the plane on the chair in the bank by the dish on the floor was great .
the toy by the hat by the candle on the street on the table by the book in the hospital was whole .	the toy is by the hat by the candle on the street on the table by the book in the hospital was whole .
the shirt on the floor by the book in the hospital in the mall on the stool on the table was cute .	the shirt is on the floor by the book in the hospital in the mall on the stool on the table was cute .
the door by the bottle by the fork on the couch on the street on the table by the window is brown .	the door was by the bottle by the fork on the couch on the street on the table by the window is brown .
